global_index,verb,row_in_verb,Number of hit,Text ID,Concordance line,Tagged concordance line,URL,Match-begin corpus position,Match-end corpus position,pos_tag,layer
335,agree_with,35,36,EW8,"Truth Society ) provide literature . Whether or not we agree with the principles or validity of church laws and rules , many","Truth_NN1 Society_NN1 )_PUR provide_VVB literature_NN1 ._PUN Whether_CJS or_CJC not_XX0 we_PNP agree_VVB with_PRP the_AT0 principles_NN2 or_CJC validity_NN1 of_PRF church_NN1 laws_NN2 and_CJC rules_NN2 ,_PUN many_DT0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=35,49834499,49834501,agree_with_AT0,1
357,agree_with,57,58,FLB,"mean there are No I quite agree , I also agree with the lady who said that one of the important things is","mean_VVB there_EX0 are_VBB No_ITJ I_PNP quite_AV0 agree_VVB ,_PUN I_PNP also_AV0 agree_VVB with_PRP the_AT0 lady_NN1 who_PNQ said_VVD that_CJT-DT0 one_CRD of_PRF the_AT0 important_AJ0 things_NN2 is_VBZ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=57,55280333,55280335,agree_with_AT0,1
375,agree_with,75,76,EC7,do agree the editor 's decision may not appear to agree with the opinions . It is hard to give an example without,do_VDB agree_VVI the_AT0 editor_NN1 's_POS decision_NN1 may_VM0 not_XX0 appear_VVI to_TO0 agree_VVI with_PRP the_AT0 opinions_NN2 ._PUN It_PNP is_VBZ hard_AJ0 to_TO0 give_VVI an_AT0 example_NN1 without_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=75,44836661,44836663,agree_with_AT0,1
383,agree_with,83,84,HXH,. Here are some examples where the subject does not agree with the verb ( i.e. these will therefore generally be classed as,._PUN Here_AV0 are_VBB some_DT0 examples_NN2 where_AVQ-CJS the_AT0 subject_NN1 does_VDZ not_XX0 agree_VVI with_PRP the_AT0 verb_NN1 (_PUL i.e._AV0 these_DT0 will_VM0 therefore_AV0 generally_AV0 be_VBI classed_VVN as_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=83,90694555,90694557,agree_with_AT0,1
400,come_back,0,1,HJH,? We 'll get married at Christmas . I 'll come back again next weekend and we can plan it . &rsquo; When,?_PUN We_PNP 'll_VM0 get_VVI married_VVN at_PRP Christmas_NN1 ._PUN I_PNP 'll_VM0 come_VVI back_AVP again_AV0 next_ORD weekend_NN1 and_CJC we_PNP can_VM0 plan_VVI it_PNP ._PUN &rsquo;_PUQ When_CJS,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=0,80763109,80763111,come_back_AV0,1
411,come_back,11,12,CFJ,". I have to go now , but I 'll come back tomorrow . Goodbye , Anabelle ! Goodbye , friend ! &rsquo;","._PUN I_PNP have_VHB to_TO0 go_VVI now_AV0 ,_PUN but_CJC I_PNP 'll_VM0 come_VVI back_AVP tomorrow_AV0 ._PUN Goodbye_ITJ ,_PUN Anabelle_NP0 !_PUN Goodbye_ITJ ,_PUN friend_NN1 !_PUN &rsquo;_PUQ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=11,32537229,32537231,come_back_AV0,1
440,come_back,40,41,KP6,"will . Well I 'll come back , shall I come back late ? No my brother has to be back by nine","will_VM0 ._PUN Well_AV0 I_PNP 'll_VM0 come_VVI back_AVP ,_PUN shall_VM0 I_PNP come_VVI back_AVP late_AV0 ?_PUN No_ITJ my_DPS brother_NN1 has_VHZ to_TO0 be_VBI back_AVP by_PRP nine_CRD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=40,110590911,110590913,come_back_AV0,1
475,come_back,75,76,JJ7,"gon na come back tomorrow . I 'm gon na come back tomorrow . Excellent , Clare [unclear] bit of fun there [unclear]","gon_VVG na_TO0 come_VVI back_AVP tomorrow_AV0 ._PUN I_PNP 'm_VBB gon_VVG na_TO0 come_VVI back_AVP tomorrow_AV0 ._PUN Excellent_AJ0 ,_PUN Clare_NP0 [unclear]_UNC bit_NN1 of_PRF fun_NN1 there_AV0 [unclear]_UNC",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=75,95643475,95643477,come_back_AV0,1
483,come_back,83,84,KDW,later . Oh ! Yeah ! Yes . I 'll come back tomorrow night . Alright then . Sandra I er get that,later_AV0 ._PUN Oh_ITJ !_PUN Yeah_ITJ !_PUN Yes_ITJ ._PUN I_PNP 'll_VM0 come_VVI back_AVP tomorrow_AV0 night_NN1 ._PUN Alright_AV0 then_AV0 ._PUN Sandra_NP0 I_PNP er_UNC get_VVB that_DT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=83,109270861,109270863,come_back_AV0,1
502,come_in,2,3,FNY,"papa , &rsquo; Charlotte said . &lsquo; We have to come in here to look at the picture . Then we invent what","papa_NN1 ,_PUN &rsquo;_PUQ Charlotte_NP0 said_VVD ._PUN &lsquo;_PUQ We_PNP have_VHB to_TO0 come_VVI in_PRP-AVP here_AV0 to_TO0 look_VVI at_PRP the_AT0 picture_NN1 ._PUN Then_AV0 we_PNP invent_VVB what_DTQ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=2,55861465,55861467,come_in_AV0,1
516,come_in,16,17,B24,"boss said , &lsquo; You go to Scotland Road and come in here for your tea , Bill . &rsquo; I could n't","boss_NN1 said_VVD ,_PUN &lsquo;_PUQ You_PNP go_VVB to_PRP Scotland_NP0 Road_NP0 and_CJC come_VVB in_PRP-AVP here_AV0 for_PRP your_DPS tea_NN1 ,_PUN Bill_NP0-NN1 ._PUN &rsquo;_PUQ I_PNP could_VM0 n't_XX0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=16,17940391,17940393,come_in_AV0,1
537,come_in,37,38,CHU,"that if an issue has been over-subscribed , people who come in late already know that it has been a success and are","that_CJT if_CJS an_AT0 issue_NN1 has_VHZ been_VBN over-subscribed_AJ0 ,_PUN people_NN0 who_PNQ come_VVB in_AVP late_AV0 already_AV0 know_VVB that_CJT it_PNP has_VHZ been_VBN a_AT0 success_NN1 and_CJC are_VBB",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=37,35370203,35370205,come_in_AV0,1
557,come_in,57,58,G3G,"told me they saw just about the nastiest bunch , come in lately . Y'would n't believe it . Oversize exters bulging with","told_VVD me_PNP they_PNP saw_VVD just_AV0 about_AV0 the_AT0 nastiest_AJS bunch_NN1 ,_PUN come_VVB in_AVP-PRP lately_AV0 ._PUN Y'would_VVB n't_XX0 believe_VVB it_PNP ._PUN Oversize_VVB exters_NN2 bulging_VVG with_PRP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=57,64585572,64585574,come_in_AV0,1
567,come_in,67,68,CKD,"bobbed in the doorway , &lsquo; ask Mrs Beynon to come in please . &rsquo; The housekeeper glided into the room and stood","bobbed_VVN-VVD in_PRP the_AT0 doorway_NN1 ,_PUN &lsquo;_PUQ ask_VVB Mrs_NP0 Beynon_NP0 to_TO0 come_VVI in_AVP-PRP please_AV0 ._PUN &rsquo;_PUQ The_AT0 housekeeper_NN1 glided_VVD into_PRP the_AT0 room_NN1 and_CJC stood_VVD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=67,36769990,36769992,come_in_AV0,1
643,come_out,43,44,KB8,"twenty nine seater bus . I mean , the seats come out so that wheelchairs can go in but in between times it","twenty_CRD nine_CRD seater_NN1 bus_NN1 ._PUN I_PNP mean_VVB ,_PUN the_AT0 seats_NN2 come_VVB out_AVP so_AV0 that_CJT wheelchairs_NN2 can_VM0 go_VVI in_AVP-PRP but_CJC in_AVP between_PRP times_NN2 it_PNP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=43,105892889,105892891,come_out_AV0,1
645,come_out,45,46,KDE,"er Yeah . Okay . Thank you . They 've come out well , have n't they . The holiday ones . Mhm","er_UNC Yeah_ITJ ._PUN Okay_AV0 ._PUN Thank_VVB you_PNP ._PUN They_PNP 've_VHB come_VVN out_AVP well_AV0 ,_PUN have_VHB n't_XX0 they_PNP ._PUN The_AT0 holiday_NN1 ones_NN2 ._PUN Mhm_ITJ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=45,108875945,108875947,come_out_AV0,1
682,come_out,82,83,KBH,"sweetheart , please . Come on . You do n't come out here with it normally do you ? You can walk round","sweetheart_NN1 ,_PUN please_AV0 ._PUN Come_VVB on_AVP ._PUN You_PNP do_VDB n't_XX0 come_VVI out_AVP here_AV0 with_PRP it_PNP normally_AV0 do_VDB you_PNP ?_PUN You_PNP can_VM0 walk_VVI round_PRP-AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=82,106491227,106491229,come_out_AV0,1
684,come_out,84,85,AD1,with it . &rsquo; &lsquo; Yes . &rsquo; &lsquo; They come out very clean . &rsquo; &lsquo; So I thought . &rsquo; They,with_PRP it_PNP ._PUN &rsquo;_PUQ &lsquo;_PUQ Yes_ITJ ._PUN &rsquo;_PUQ &lsquo;_PUQ They_PNP come_VVB out_AVP very_AV0 clean_AJ0 ._PUN &rsquo;_PUQ &lsquo;_PUQ So_CJS I_PNP thought_VVD ._PUN &rsquo;_PUQ They_PNP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=84,7747556,7747558,come_out_AV0,1
692,come_out,92,93,G25,on top . The ends on top . The ends come out parallel with the standing part ( Fig 5 ) . LARKS,on_PRP top_NN1-AJ0 ._PUN The_AT0 ends_NN2 on_PRP top_NN1-AJ0 ._PUN The_AT0 ends_NN2 come_VVB out_AVP parallel_AV0 with_PRP the_AT0 standing_NN1-AJ0 part_NN1 (_PUL Fig_NN1 5_CRD )_PUR ._PUN LARKS_NN2,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=92,63283095,63283097,come_out_AV0,1
723,give_away,23,24,EEF,"big &lsquo; if &rsquo; &mdash; the patent system does not give away the vital clue to an innovative product of process , innovating","big_AJ0 &lsquo;_PUQ if_CJS &rsquo;_PUQ &mdash;_PUN the_AT0 patent_NN1-AJ0 system_NN1 does_VDZ not_XX0 give_VVI away_AV0 the_AT0 vital_AJ0 clue_NN1 to_PRP an_AT0 innovative_AJ0 product_NN1 of_PRF process_NN1 ,_PUN innovating_AJ0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sl&batch=23,47192694,47192696,give_away_AT0,1
729,give_away,29,30,CCS,"even if the lone navigator was not captured , could give away the intended landing point for an assault force . Throughout these","even_AV0 if_CJS the_AT0 lone_AJ0 navigator_NN1 was_VBD not_XX0 captured_VVN ,_PUN could_VM0 give_VVI away_AV0 the_AT0 intended_AJ0 landing_NN1 point_NN1 for_PRP an_AT0 assault_NN1 force_NN1 ._PUN Throughout_PRP these_DT0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sl&batch=29,29326579,29326581,give_away_AT0,1
740,give_away,40,6,ARB,"you know this word ? If you do , you give away your age . Shufti was Desert-Rat slang in the Forties .","you_PNP know_VVI this_DT0 word_NN1 ?_PUN If_CJS you_PNP do_VDB ,_PUN you_PNP give_VVB away_AV0 your_DPS age_NN1 ._PUN Shufti_NP0 was_VBD Desert-Rat_NP0 slang_NN1 in_PRP the_AT0 Forties_CRD ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sk&batch=5,13775910,13775912,give_away_DPS,1
762,give_away,62,4,CRA,"the thought of securitising its mortgage assets &mdash; &lsquo; why give away margin ? &rsquo; asks Jon Foulds , its chairman since 1990","the_AT0 thought_NN1 of_PRF securitising_VVG its_DPS mortgage_NN1 assets_NN2 &mdash;_PUN &lsquo;_PUQ why_AVQ give_VVI away_AV0 margin_NN1 ?_PUN &rsquo;_PUQ asks_VVZ Jon_NP0 Foulds_NP0 ,_PUN its_DPS chairman_NN1 since_PRP 1990_CRD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sn&batch=3,40672395,40672397,give_away_NN1,1
768,give_away,68,5,CAG,"opened the floodgates to a fortnight of &lsquo; we can give away more tax than you &rsquo; , and exchanges between the two","opened_VVD the_AT0 floodgates_NN2 to_PRP a_AT0 fortnight_NN1 of_PRF &lsquo;_PUQ we_PNP can_VM0 give_VVI away_AV0 more_DT0 tax_NN1 than_CJS you_PNP &rsquo;_PUQ ,_PUN and_CJC exchanges_NN2 between_PRP the_AT0 two_CRD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sq&batch=4,26058520,26058522,give_away_DT0,1
824,give_in,24,4,AD9,is . Stop being so uptight . Be loose . Give in . Drink it . Drink me ! &rsquo; Tammuz drew in,is_VBZ ._PUN Stop_VVB being_VBG so_AV0 uptight_AJ0 ._PUN Be_VBB loose_AJ0 ._PUN Give_VVB in_AVP ._PUN Drink_VVB it_PNP ._PUN Drink_VVB me_PNP !_PUN &rsquo;_PUQ Tammuz_NP0-NN1 drew_VVD in_PRP-AVP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9f&batch=3,7857452,7857454,Give_in_PUN,1
875,give_in,75,1,CLS,usual fashion shows which many of the de luxe houses give in conjunction with the department stores in their cities &rsquo; ; in,usual_AJ0 fashion_NN1 shows_NN2 which_DTQ many_DT0 of_PRF the_AT0 de_UNC luxe_UNC houses_NN2 give_VVB in_PRP conjunction_NN1 with_PRP the_AT0 department_NN1 stores_NN2-VVZ in_PRP their_DPS cities_NN2 &rsquo;_PUQ ;_PUN in_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha98&batch=0,38130372,38130374,give_in_NN1,1
880,give_in,80,6,G1C,"trusts or investments . How much does the ordinary household give in cash to charity ? The Charity Household Survey , the Family","trusts_NN2 or_CJC investments_NN2 ._PUN How_AVQ much_DT0 does_VDZ the_AT0 ordinary_AJ0 household_NN1 give_VVB in_AVP cash_NN1 to_PRP charity_NN1 ?_PUN The_AT0 Charity_NN1 Household_NN1 Survey_NN1 ,_PUN the_AT0 Family_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha98&batch=5,62499640,62499642,give_in_NN1,1
884,give_in,84,10,HHX,give more money to the Common Market budget than we give in aid to the third world . What sense is there in,give_VVB more_DT0 money_NN1 to_PRP the_AT0 Common_AJ0 Market_NN1 budget_NN1 than_CJS we_PNP give_VVB in_AVP aid_NN1 to_PRP the_AT0 third_ORD world_NN1 ._PUN What_DTQ sense_NN1 is_VBZ there_AV0 in_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha98&batch=9,79209562,79209564,give_in_NN1,1
896,give_in,96,8,F7X,I swear to almighty god that the evidence I shall give in this court shall be the truth the whole truth and nothing,I_PNP swear_VVB to_PRP almighty_AJ0 god_NN1 that_CJT the_AT0 evidence_NN1 I_PNP shall_VM0 give_VVI in_AVP-PRP this_DT0 court_NN1 shall_VM0 be_VBI the_AT0 truth_NN1 the_AT0 whole_AJ0 truth_NN1 and_CJC nothing_PNI,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha94&batch=7,50604798,50604800,give_in_DT0,1
900,give_out,1,2,AP8,Kendal of &lsquo; hosiers attending Markets to collect stockings and give out worsted . &rsquo; Kirkby Stephen had a stocking market of renown,Kendal_NP0 of_PRF &lsquo;_PUQ hosiers_NN2 attending_VVG Markets_NN2 to_TO0 collect_VVI stockings_NN2 and_CJC give_VVB out_AVP worsted_NN1 ._PUN &rsquo;_PUQ Kirkby_NP0 Stephen_NP0 had_VHD a_AT0 stocking_NN1 market_NN1 of_PRF renown_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9v1&batch=1,12842533,12842535,give_out_NN1,1
909,give_out,10,11,HSB,a cell ( or other &lsquo; system &rsquo; ) to give out water to another cell or solution . Since W.P. is sometimes,a_AT0 cell_NN1 (_PUL or_CJC other_AJ0 &lsquo;_PUQ system_NN1 &rsquo;_PUQ )_PUR to_TO0 give_VVI out_AVP water_NN1 to_PRP another_DT0 cell_NN1 or_CJC solution_NN1 ._PUN Since_CJS W.P._NP0 is_VBZ sometimes_AV0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9v1&batch=10,86296077,86296079,give_out_NN1,1
956,give_out,57,8,J8G,"perhaps which er would n't give up , would n't give out enough light Mm erm otherwise you 'll Do you take sugar","perhaps_AV0 which_DTQ er_UNC would_VM0 n't_XX0 give_VVI up_AVP ,_PUN would_VM0 n't_XX0 give_VVI out_AVP enough_DT0 light_NN1-AJ0 Mm_ITJ erm_UNC otherwise_AV0 you_PNP 'll_VM0 Do_VDB you_PNP take_VVI sugar_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vg&batch=7,95148229,95148231,give_out_DT0,1
974,give_out,75,15,KR2,Say something say something . Yeah just say something . Give out a shout to someone . Go on . Why are you,Say_VVB something_PNI say_VVB something_PNI ._PUN Yeah_ITJ just_AV0 say_VVB something_PNI ._PUN Give_VVB out_AVP a_AT0 shout_NN1 to_PRP someone_PNI ._PUN Go_VVB on_AVP ._PUN Why_AVQ are_VBB you_PNP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sw&batch=14,111008386,111008388,Give_out_AT0,1
979,give_out,80,20,J1A,"with dots while the basses , in bar 383 , give out the fourth of the five themes , with strokes in pure","with_PRP dots_NN2 while_CJS the_AT0 basses_NN2 ,_PUN in_PRP bar_NN1 383_CRD ,_PUN give_VVB out_AVP the_AT0 fourth_ORD of_PRF the_AT0 five_CRD themes_NN2 ,_PUN with_PRP strokes_NN2 in_PRP pure_AJ0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sw&batch=19,92549076,92549078,give_out_AT0,1
1000,give_up,8,9,H7S,"Edirne which was then vacant , Hacihasanzade urged him to give up the thought of receiving a medrese and to accept an appointment","Edirne_NP0-NN1 which_DTQ was_VBD then_AV0 vacant_AJ0 ,_PUN Hacihasanzade_NP0 urged_VVD him_PNP to_TO0 give_VVI up_AVP the_AT0 thought_NN1 of_PRF receiving_VVG a_AT0 medrese_NN1 and_CJC to_TO0 accept_VVI an_AT0 appointment_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9su&batch=8,71029036,71029038,give_up_AT0,1
